replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
327,assignment_isolation,plus_one_randomisation,True,ok,-19.997526171010232,3.6647650397206597,-14.140990814414312,-26.555661262207302,28.92506522086487,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.29166666666667,1.0087119711963985,0.001109931787838351,False,0.5189298239689386,False,0.01388888888888895,False,False,0.18516795799593552,0.01388888888888895,True,0.5951458894021305,0.11969184529003005,-1.9416144849185533,False,forward_only_adequate
328,assignment_isolation,plus_one_randomisation,True,ok,-19.820018826679743,3.2468512630961,-14.817272418833557,-25.957574020569975,28.41532257326827,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.625,0.987534667521897,0.0316506164063111,False,0.5448323574231714,False,0.023958333333333304,False,False,0.1878382875784518,0.023958333333333304,True,-0.2936024292234715,0.2045541763568281,-4.674538184816455,False,forward_only_adequate
329,assignment_isolation,plus_one_randomisation,True,ok,-20.418166497585904,4.495459585972063,-13.45035412893037,-28.048871232129144,29.312112450629364,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.0,1.0154013608332466,0.013224137819076099,False,0.5490219506809287,False,0.038541666666666585,False,False,0.18825495565149028,0.038541666666666585,True,1.1365200973347858,0.19039312638588918,-2.529581240724271,False,forward_only_adequate
330,assignment_isolation,plus_one_randomisation,True,ok,-24.595274715483715,3.8463280338154107,-18.097502856510214,-31.39973580074662,29.335663335667245,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.33333333333333,1.023249916231641,0.02912850739218769,False,0.5314181208385207,False,0.024652777777777746,False,False,0.23123765729925394,0.024652777777777746,True,0.4885187037532449,0.21643705535821645,-3.5132513470489295,False,forward_only_adequate
331,assignment_isolation,plus_one_randomisation,True,ok,-22.970996719576238,3.54930279763244,-17.280851043724734,-29.38268786901741,30.008578833552473,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.08333333333333,1.0399787500642501,0.008609216809990133,False,0.5194436621331353,False,0.013541666666666674,False,False,0.2098762305827201,0.013541666666666674,True,0.34400048807105416,0.11334657037560578,-2.5757768295677037,False,forward_only_adequate
332,assignment_isolation,plus_one_randomisation,True,ok,-21.190605843540798,4.275884105910014,-13.622758283399325,-28.18666832982567,29.5174658976588,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.25,1.0185129818459768,0.007646320189917169,False,0.5046930637030017,False,0.014236111111111116,False,False,0.19585356515973018,0.014236111111111116,True,-1.2750966043549834,0.17621604433630783,-3.7250271036406075,False,forward_only_adequate
333,assignment_isolation,plus_one_randomisation,True,ok,-16.30463053513151,4.34445019146738,-8.674789678094971,-23.81079003046321,28.636468830573527,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.79166666666667,0.9960782441020789,0.016772378545063586,False,0.49229660652048174,False,0.006249999999999978,False,False,0.14792311936146998,0.006249999999999978,True,0.6514322749541682,0.13245146590028556,-2.112777946720362,False,forward_only_adequate
334,assignment_isolation,plus_one_randomisation,True,ok,-28.083958930328766,4.494393380867927,-20.015811434808505,-35.967470289438054,30.108254191499203,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.0,1.0375341090398744,0.0293111416703799,False,0.507499985854095,False,0.01909722222222221,False,False,0.2644587930080952,0.01909722222222221,True,-2.5722380117698473,0.2225267104503554,-4.0073939986546145,False,forward_only_adequate
335,assignment_isolation,plus_one_randomisation,True,ok,-20.164718507267043,3.870259346218867,-12.928975993311784,-26.421787092697805,29.940038554046424,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,93.70833333333333,1.0246993686365105,0.03628061359642891,False,0.5029411197111461,False,0.021180555555555647,False,False,0.18357885398917856,0.021180555555555647,True,0.041383598994163,0.04084175761173947,-2.9057211958251714,False,forward_only_adequate
336,assignment_isolation,plus_one_randomisation,True,ok,-19.450637665021784,3.9922551650028946,-12.21591922879886,-26.031863840550486,28.79449826066685,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.91666666666667,1.0022215949075979,0.004379596080621751,False,0.544901078607989,False,0.013541666666666674,False,False,0.18063319164106711,0.013541666666666674,True,2.327511249864837,0.2086783649551281,-2.369465680520403,False,forward_only_adequate
