replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
581,assignment_isolation,plus_one_randomisation,True,ok,24.61771860377243,4.139624508115137,31.617410380023017,17.982192309362393,30.24878345037283,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,94.75,1.0410043125304542,0.033244320355308915,False,0.5091519008962402,False,0.014236111111111116,False,False,0.22697711294891737,0.014236111111111116,True,-0.5011512445973917,0.10293670416157476,2.675224151914449,False,forward_only_adequate
582,assignment_isolation,plus_one_randomisation,True,ok,14.911959270088069,3.6402169321716786,20.88297986442731,7.81446783940207,29.37985455346593,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.25,1.01907234720692,0.015377666236610616,False,0.5100640217927916,False,0.02256944444444442,False,False,0.12957156687701454,0.02256944444444442,True,0.17280599959296908,0.12710787767408485,2.5126013676929535,False,forward_only_adequate
583,assignment_isolation,plus_one_randomisation,True,ok,25.461362158779064,4.835143515273242,32.98678544807558,15.989472132431459,30.076847094264277,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.79166666666667,1.0407614061929766,0.023323273424964795,False,0.5181524440056225,False,0.029166666666666674,False,False,0.23593013613445582,0.029166666666666674,True,0.5728670438287371,0.11055438856607805,4.299184515420056,False,forward_only_adequate
584,assignment_isolation,plus_one_randomisation,True,ok,19.130572169949108,3.5184659489276773,25.709019841120963,13.901486224060942,28.742832649988923,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,97.29166666666667,1.0023569232689054,0.009554155456269402,False,0.5215266463381292,False,0.01388888888888895,False,False,0.17714049657266281,0.01388888888888895,True,-0.7309052029430833,0.23564604057050312,1.8893940030904237,False,forward_only_adequate
585,assignment_isolation,plus_one_randomisation,True,ok,17.844940377893916,3.6437239659024856,24.347773296195903,11.991597241100878,28.780291262793256,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.375,0.9989238602952663,0.029459357505788934,False,0.5354659474611585,False,0.023263888888888862,False,False,0.1639421794566375,0.023263888888888862,True,2.3887519719914487,0.23441522775042564,3.7211106541663175,False,forward_only_adequate
586,assignment_isolation,plus_one_randomisation,True,ok,16.111292178323044,4.258372060555893,22.845456424339336,8.739990924903186,29.109613147303868,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.95833333333333,1.0081677215528992,0.025521018734972346,False,0.48660507554943705,False,0.016666666666666607,False,False,0.1437957310424629,0.016666666666666607,True,-2.0873533632472525,0.2315915748375225,2.162430068166266,False,forward_only_adequate
587,assignment_isolation,plus_one_randomisation,True,ok,17.83090565219741,4.117142666728713,25.317989401801455,11.317523847319995,28.805028265960296,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.41666666666667,0.9999985463463429,0.03448979580447001,False,0.5118687590732813,False,0.037847222222222254,False,False,0.1635843761586614,0.037847222222222254,True,0.5127939287421648,0.15436541373239643,3.793268423796961,False,forward_only_adequate
588,assignment_isolation,plus_one_randomisation,True,ok,13.10122215992756,4.4656683415212015,20.299023734062636,4.662483875832542,29.610816556902446,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.0304128073738663,0.005823641360883052,False,0.5017171169794485,False,0.01388888888888884,False,False,0.10968159323307276,0.01388888888888884,True,-1.8447566035513165,0.1988650733343585,3.1167498271438316,False,forward_only_adequate
589,assignment_isolation,plus_one_randomisation,True,ok,15.901328409844536,4.252957744984946,23.00086080205199,8.455949703047525,29.599002055353107,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.75,1.0293369484077672,0.022133556786720163,False,0.5316203677143436,False,0.03541666666666665,False,False,0.13815315843575818,0.03541666666666665,True,0.22123445465424435,0.16599971423158047,3.2812008752636617,False,forward_only_adequate
590,assignment_isolation,plus_one_randomisation,True,ok,25.5340547033413,4.7506605702352145,33.15047122878632,17.972195887212973,29.955478177011507,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.33333333333333,1.039488184242363,0.02192478726275318,False,0.517194666058483,False,0.04062500000000002,False,False,0.23702599654295425,0.04062500000000002,True,0.1960890559367648,0.15296490120080578,3.0481997737006963,False,forward_only_adequate
